case_id,label,orig_h,orig_w,lotName,waferIndex,n_die,n_fail,fail_frac,row_in_labeled_raw
C01,Center,25,27,lot36678,25.0,515,131,0.2543689320388349,26408
C02,Donut,41,42,lot17141,23.0,1334,342,0.2563718140929535,20356
C03,Edge-Ring,44,48,lot15711,12.0,1644,247,0.1502433090024331,19341
C04,Edge-Loc,35,40,lot21770,3.0,1080,171,0.15833333333333333,23254
C05,Loc,35,31,lot42370,15.0,844,126,0.14928909952606634,53872
C06,Scratch,41,33,lot47323,5.0,1060,106,0.1,167771
C07,Random,27,25,lot45085,21.0,497,238,0.4788732394366197,114591
C08,Near-full,25,27,lot42974,8.0,516,453,0.877906976744186,67733
C09,Center,25,27,lot6172,3.0,515,180,0.34951456310679613,9267
C10,none,45,48,lot1,1.0,1683,88,0.05228758169934641,0
